name_eng,name_th,location_eng,location_th,details,price_min,price_max,avg_rating,gender,image_url,phone_num,gps_latitude,gps_longitude,geom
Baan Sabaai Dormitory,หอพักบ้านสบาย,Keki ngam 1,บ้านสบาย แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Bed, cabinet, table",,,,male,,086-813-1002 068-884-4036,13.72633455,100.7708206,
Somchai Dormitory,หอพักสมชาย,"415 Chalong Krung 1 Alley, Lat Krabang, Bangkok 10520",หอพักสมชาย แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Bed, cabinet, table",,,,male,,081-726-5370,13.72595319,100.7708316,
Mali female Dormitory,หอพักหญิงมะลิ,"13 12 Keki Ngam 1 Alley, ลาดกระบัง Lat Krabang, Bangkok 10520",หอพักหญิงมะลิ ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, chair, cabinet, bed, bookcase, bookshelf, refrigerator, free WIFI",,,,female,,086-546-6924 086-539-5464,13.72751388,100.7707741,
Rattana-amphorn Dormitory,บ้านรัตนอัมพร,Keki ngam 1,บ้านรัตนอัมพร แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Bed, cabinet, table",,,,male,,081-489-1272,13.72755916,100.7705803,
Lumjiek Dormitory 1,หอพักลําเจียก 1,Keki ngam 1,บ้านลำเจียก ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,Bed cabinet table,,,,female,,089-663-5045 092-428-0910,13.72739268,100.7707585,
Lumjiek Dormitory 2,หอพักลําเจียก 2,Keki ngam 1,บ้านลำเจียก ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,Bed cabinet table,,,,female,,089-663-5045 092-428-0910,13.72739268,100.7707585,
Achariya Dormitory,หอพักอัจฉริยา,"412และ413 Keki Ngam 1 Alley, Lat Krabang, Bangkok 10520",อัจฉริยา แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, bed, cabinet (if need refrigerator For additional cost)",,,,female,,081-823-1938 081-992-4669,13.72619913,100.7708212,
AP House Dormitory,AP HOUSE,"PQFC+R7R, Lat Krabang, Bangkok 10520",เขตเกกีงาม 1,"Table, bed, cabinet, refrigerator",,,,male,,081-823-1938 081-992-4669,13.72463285,100.7706265,
Phol Phat Dormitory,หอพักพลภัทร์,"412และ413 Keki Ngam 1 Alley, Lat Krabang, Bangkok 10520",พลภัทร์ แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Flat screen TV, router, refrigerator, wardrobe, bed table",,,,male,,081-823-1938 081-992-4669,13.72609601,100.7708296,
Issarat Dormitory,หอพักอิศรัตน์,Keki ngam 1,บ้านอิศรัตน์ ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Bed, cabinet, table",,,,female,,081-755-6489,13.72772641,100.7707849,
Khwan Phong Dormitory 1,หอพักขวัญพยงค์ 1,Keki ngam 1,หอพักชายขวัญพยงค์ 1 ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, bed, cabinet, ceiling fan",,,,female,,081-648-8532,13.72580725,100.7708378,
Khwan Phong Dormitory 2,หอพักขวัญพยงค์ 2,Keki ngam 1,หอพักหญิงขวัญพยงค์ 2 ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, bed, cabinet, ceiling fan",,,,female,,081-648-8532,13.72561391,100.7708443,
Khwan Phong Dormitory 3,หอพักขวัญพยงค์ 3,"Soi Keki Ngam 1, Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520",หอพักชายขวัญพยงค์ 3 ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, bed, cabinet, ceiling fan",,,,female,,081-648-8532,13.72538905,100.7708486,
Khwan Phong Dormitory 4,หอพักขวัญพยงค์ 4,"3/44 Chalong Krung 1 Alley, Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520",ขวัญพยงค์ 4 ซอยเกกีงาม 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, bed, cabinet, ceiling fan",,,,female,,081-648-8532,13.72509457,100.7708673,
JJ Dormitory 1,"หอพักเจ เจ 1, 2",Keki ngam 1,หอพักเจ.เจ. แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,"Table, chair, cabinet, bed",,,,mixed,,089-052-0649,13.72634545,100.770605,
Chaiphon 1 Dormitory,หอพักชัยพร 1,Keki ngam 1,เขตเกกีงาม 1,"Bed, cabinet, table",,,,mixed,,061-646-4694,,,
Eknamchai Dormitory,หอพักเอกนําชัย,Keki ngam 1,เขตเกกีงาม 1,"Bed, cabinet, table",,,,male,,083-197-4436,,,
SCM place Dormitory,SCM PLACE,Keki ngam 1,เขตเกกีงาม 1,"Cabinet, bed, table, chair, ceiling fan, free WIFI",,,,male,,083-080-5165 086-382-1142,,,
S.Royrat Dormitory,หอพัก ส.รอยรัตน์,Keki ngam 1,เขตเกกีงาม 1,"Ceiling fan, Japanese table, bed cabinet",,,,female,,080-786-8832,,,
J&W Dormitory,J&W,Keki ngam 2,เขตเกกีงาม 2,"Table, cabinet, bed, chair, male and female Separate Buildings",,,,male_and_female,,081-649-1327,,,
Tangkwa Dormitory,หอพักแตงกวา,Keki ngam 2,เขตเกกีงาม 2,"Table, cabinet, bed, chair",,,,mixed,,081-658-0785,,,
Aomsin Dormitory,หอพักออมสิน,Keki ngam 2,เขตเกกีงาม 2,"Table, cabinet, bed, chair",,,,mixed,,081-165-8075,,,
Kamol Dormitory,หอพักกมล,Keki ngam 2,เขตเกกีงาม 2,"Table, cabinet, bed, chair",,,,mixed,,081-498-5059 081-921-5653,,,
PK Dormitory,PK,Keki ngam 2,หอพักหญิงบ้านพี.เค. ซอยฉลองกรุง 1 แยก 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,Bed cabinet table,,,,female,,086-669-2079,13.7267074,100.770429,
Siriwat Dormitory,หอพักศิริวัฒน์,Keki ngam 2,เขตเกกีงาม 2,Bed cabinet table,,,,female,,083-197-4436,,,
Suratchanee Dormitory 1,หอพักสุรัชนี 1,Keki ngam 2,เขตเกกีงาม 2,Bed cabinet table,,,,mixed,,089-144-5981,,,
Suratchanee Dormitory 2,หอพักสุรัชนี 2,Keki ngam 2,เขตเกกีงาม 2,Bed cabinet table,,,,mixed,,089-144-5981,,,
Nahathai female Dormitory,หอพักหญิงณหทัย,Keki ngam 2,เขตเกกีงาม 2,"Bed cabinet table, There is a restaurant at the 1st floor of the dormitory.",,,,female,,085-807-1325,,,
Apinya male Dormitory,หอพักชายอภิญญา,Keki ngam 2,เขตเกกีงาม 2,"Table, cabinet, bed, chair, free WIFI, Free cable",,,,male,,093-464-6697,,,
Wisutkhana female Dormitory,หอพักสตรีวิศุทคณา,Keki ngam 2,เขตเกกีงาม 2,"Bed, cabinet, table",,,,female,,080-309-7928,,,
CS House Dormitory,CS HOUSE,Keki ngam 2,เขตเกกีงาม 2,"Bed, cabinet, table",,,,male,,063-304-8181,,,
Chalermsri Dormitory,หอพักเฉลิมศรี,Keki ngam 2,เขตเกกีงาม 2,"Bed, cabinet, table",,,,male,,063-304-8181,,,
Nak Bamrungsri Dormitory 1,หอพักนาคบํารุงศรี 1,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 2,หอพักนาคบํารุงศรี 2,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 3,หอพักนาคบํารุงศรี 3,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 4,หอพักนาคบํารุงศรี 4,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 5,หอพักนาคบํารุงศรี 5,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 6,หอพักนาคบํารุงศรี 6,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 7,หอพักนาคบํารุงศรี 7,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 8,หอพักนาคบํารุงศรี 8,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 9,หอพักนาคบํารุงศรี 9,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 10,หอพักนาคบํารุงศรี 10,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 11,หอพักนาคบํารุงศรี 11,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
Nak Bamrungsri Dormitory 12,หอพักนาคบํารุงศรี 12,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, cabinet, mattress, chair, WIFI",,,,female,,081-825-6955,,,
P531 Dormitory,P531,Keki ngam 3,เขตเกกีงาม 3,"Cabinet, table, chair, bed, WIFI",,,,mixed,,089-512-4088,,,
Nicha female Dormitory,หอพักหญิงณิชา,Keki ngam 3,เขตเกกีงาม 3,WIFI table cabinet bed,,,,female,,086-318-8568,,,
Aram Sri Dormitory,หอพักอร่ามศรี,Keki ngam 3,เขตเกกีงาม 3,"Bed, table, chair, male and female Separate Buildings",,,,male_and_female,,095-956-2434,,,
Joy Chang Niam House 1,บ้านพักจ้อยช้างเนียม 1,Keki ngam 3,เขตเกกีงาม 3,"Table, cabinet, bed, mattress",,,,female,,094-949-2239,,,
Joy Chang Niam House 2,บ้านพักจ้อยช้างเนียม 2,Keki ngam 3,เขตเกกีงาม 3,"Table, cabinet, bed, mattress",,,,female,,094-949-2239,,,
Joy Chang Niam House 3,บ้านพักจ้อยช้างเนียม 3,Keki ngam 3,เขตเกกีงาม 3,"Table, cabinet, bed, mattress",,,,female,,094-949-2239,,,
Prisadangbut Hall,หอพักถาวรพฤกษ์,Keki ngam 3,เขตเกกีงาม 3,WIFI Bed Table Cabinet,,,,mixed,,089-698-9056,,,
Thavornpruek Dormitory,หอพักถาวรพฤกษ์,Keki ngam 3,เขตเกกีงาม 3,"Bed cabinet, Key card 200 baht",,,,mixed,,081-831-3622,,,
Kanyarat Dormitory,หอพักกัลยรัตน์,Keki ngam 3,เขตเกกีงาม 3,"Bed table cabinet (can add 500 to get TV, refrigerator), free WIFI",,,,mixed,,081-636-3728 094-787-9653,,,
Hemakorn Dormitory,หอพักเหมกรณ์,Keki ngam 3,เขตเกกีงาม 3,"Bed cabinet table, male and female Separate Buildings",,,,male_and_female,,085-109-3115 081-173-5615,,,
2Son Dormitory,หอพักทูซัน,RNP Area,พื้นที่อาร์เอ็นพี,"Bed table cabinet (can add 500 digital TV, refrigerator, shoe rack), free WIFI",,,,mixed,,062-8433-9516,,,
Apple house tower,APPLE HOUSE,RNP Area,พื้นที่อาร์เอ็นพี,"Bed, table, cabinet, AC, water warmer, WIFI",,,,mixed,,086-300-8543,,,
Papa Emamong Dormitory,หอพักปาป๊า เอ มามอง,RNP Area,พื้นที่อาร์เอ็นพี,"Table, chair, cabinet, bed, TV, refrigerator, clothes rack, shoe rack, free WIFI, Fitness (300 baht fee per year)",,,,male,,081-444-5986,,,
Pool Villa,POOL VILLA,RNP Area,พื้นที่อาร์เอ็นพี,"Bed cabinet table, male and female Separate Buildings",,,,male_and_female,,085-324-9364,,,
Garden home Dormitory,GARDEN HOME,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair, TV, refrigerator, free WIFI",,,,female,,087-334-1323 061-818-6783 083-293-7335,,,
U Place Dormitory,U PLACE,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair, TV, refrigerator, free WIFI",,,,mixed,,087-334-1323 061-818-6783 083-293-7335,,,
Kanokporn Place Dormitory,หอพักคัดสรรเพลส,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair, mattress, hot water, WIFI",,,,mixed,,089-622-3975 081-641-3758 089-111-2223,,,
Kudson Place Dormitory,หอพักคัดสรรเพลส,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair, hot water, TV, refrigerator, WIFI",,,,mixed,,089-123-5673 088-635-1519 089-111-2223,,,
The home Dormitory,THE HOME,RNP Area,พื้นที่อาร์เอ็นพี,"Cabinet, bed table (5 feet), TV, refrigerator, free WIFI, free toilet scrub 1 time / week, male and female Separate Buildings",,,,male_and_female,,098-262-1640,,,
Kanyarat Mansion Dormitory 1,หอพักกัลยรัตน์แมนชั่น 1,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair, TV, refrigerator, free WIFI",,,,mixed,,081-636-3728,,,
Kanyarat Mansion Dormitory 2,หอพักกัลยรัตน์แมนชั่น 2,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair, TV, refrigerator, free WIFI",,,,mixed,,081-636-3728,,,
JIA-JIA Place Dormitory,JIA-JIA PLACE,RNP Area,พื้นที่อาร์เอ็นพี,"Cabinet, table, bed, TV, refrigerator, free WIFI and elevator",,,,mixed,,081-636-3728,,,
Baan Khumthara Dormitory,หอพักบ้านคุ้มธารา,RNP Area,พื้นที่อาร์เอ็นพี,"Bed table cabinet, free WIFI",,,,male,,081-253-9031 083-086-4036,,,
Phatra Salin Home Dormitory,หอพักภัทร สลิล โฮม,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, chair",,,,mixed,,098-354-5565,,,
Workpoint Apartment,หอพักเวิร์คพ้อยท์ อพาร์ทเม้นท์,RNP Area,พื้นที่อาร์เอ็นพี,"Bed cabinet table, male and female Separate Buildings",,,,male_and_female,,085-254-0505,,,
Enjoy Place Dormitory,หอพักเอ็ดนอร์ดพอร์ดส์สามอริ,RNP Area,พื้นที่อาร์เอ็นพี,"Cabinet, table, chair, bed, dressing table Multipurpose computer desk (add TV, refrigerator 200/300 per month)",,,,mixed,,085-045-7636 086-782-4907,,,
Thavornpruek 3 Dormitory,หอพักถาวรพฤกษ์ 3,RNP Area,พื้นที่อาร์เอ็นพี,Bed cabinet table (5 feet if need 2 3.5 feet bed can be requested),,,,mixed,,081-831-3622,,,
Sangwattana Mansion 1,หอพักแสงวัฒนา แมนชั่น 1,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, TV, refrigerator",,,,mixed,,094-293-6195,,,
Sangwattana Mansion 2,หอพักแสงวัฒนา แมนชั่น 2,RNP Area,พื้นที่อาร์เอ็นพี,"Table, cabinet, bed, TV, refrigerator",,,,mixed,,094-293-6195,,,
M.A.I. Dormitory,M.A.I.,FBT Area,เขตเอฟบีที,Bed cabinet table,,,,mixed,,081-697-2604,,,
Rimnam Dormitory,RIM NAM,FBT Area,เขตเอฟบีที,Bed cabinet table,,,,mixed,,081-697-2604,,,
Chai Charoen House,ชัยเจริญเฮ้าส์,Chalongkrung Area,พื้นที่ฉลองกรุง,"Bed cabinet table, free WIFI",,,,mixed,,02-737-3444,,,
Sabai Place,SABAI PLACE,Chalongkrung Area,พื้นที่ฉลองกรุง,"Table, cabinet, bed, WIFI (Private Router 400 baht per month), floors 4-5 have a refrigerator",,,,mixed,,099-342-9897,,,
Sirisunee Dormitory,หอพักศิริสุนีย์,Jinda Area,พื้นที่จินดา,"Cabinet, bed table (air-conditioned room with water heater), pay an additional 200 baht per month, TV, refrigerator, WIFI 200 baht per month",,,,mixed,,080-270-7005 02-739-1520,,,
Siripan Dormitory,หอพักบ้านสิริพรรณ,Jinda Area,พื้นที่จินดา,"Bed, cabinet, table",,,,female,,099-327-5116 081-257-1221,,,
AB Dormitory 1,AB 1,Jinda Area,พื้นที่จินดา,Bed cabinet table,,,,mixed,,086-999-8106,,,
AB Dormitory 2,AB 2,Jinda Area,พื้นที่จินดา,Bed cabinet table,,,,mixed,,086-999-8106,,,
P.S Home Dormitory,P.S HOME,Jinda Area,พื้นที่จินดา,Bed cabinet table,,,,mixed,,081-483-3766,,,
Ratchapruek female Dormitory,หอพักราชพฤกษ์,Jinda Area,พื้นที่จินดา,"Table, cabinet, bed, chair, male and female Separate Towers",,,,male_and_female,,096-560-0080 096-560-0090,,,
My Place 4-5 Dormitory,MY PLACE APARTMENT (4-5),Jinda Area,พื้นที่จินดา,Bed cabinet table,,,,mixed,,084-962-5990,,,
Chat Suree Apartment,ฉัตรสุรีย์ อพาร์ทเม้นท์,Suvarnabhumi Flea Market Zone,พื้นที่ตลาดนัดสุวรรณภูมิ,"female apartment with table, wardrobe, AC, water warmer, WIFI, TV, fridge, and bed provided",,,,female,,089-1990295,,,
Baan Thai Sansuk Apartment,บ้านไทยแสนสุขอพาร์ทเม้นท์,Suvarnabhumi Flea Market Zone,พื้นที่ตลาดนัดสุวรรณภูมิ,"mixed apartment with table, wardrobe, AC, fan, water warmer, WIFI, TV, fridge, and bed provided",,,,mixed,,083-9960033,,,
K.K. RESIDENT,K.K. RESIDENT,Suvarnabhumi Flea Market Zone,พื้นที่ตลาดนัดสุวรรณภูมิ,"mixed apartment with table, wardrobe, AC, water warmer, WIFI, TV, fridge, and bed provided",,,,mixed,,081-628-9944,,,
